name,shape_ref,shape_mir,maxdiff,mean_abs_diff,cosine_similarity,status
generator.resblocks.4.convs2.1,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0001131296157837,OK
generator.resblocks.4.adain1.2.fc,"[1, 256]","[1, 256]",0.0,0.0,0.9999998807907104,OK
generator.resblocks.4.adain1.2.norm,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000524520874023,OK
generator.resblocks.4.adain1.2,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000299215316772,OK
generator.resblocks.4.convs1.2.parametrizations.weight.0,"[128, 128, 7]","[128, 128, 7]",0.0,0.0,1.0000015497207642,OK
generator.resblocks.4.convs1.2.parametrizations.weight,"[128, 128, 7]","[128, 128, 7]",0.0,0.0,1.0000015497207642,OK
generator.resblocks.4.convs1.2,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000154972076416,OK
generator.resblocks.4.adain2.2.fc,"[1, 256]","[1, 256]",0.0,0.0,0.9999999403953552,OK
generator.resblocks.4.adain2.2.norm,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000391006469727,OK
generator.resblocks.4.adain2.2,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.000043511390686,OK
generator.resblocks.4.convs2.2.parametrizations.weight.0,"[128, 128, 7]","[128, 128, 7]",0.0,0.0,1.0000022649765015,OK
generator.resblocks.4.convs2.2.parametrizations.weight,"[128, 128, 7]","[128, 128, 7]",0.0,0.0,1.0000022649765015,OK
generator.resblocks.4.convs2.2,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0001351833343506,OK
generator.resblocks.4,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0001249313354492,OK
generator.resblocks.5.adain1.0.fc,"[1, 256]","[1, 256]",0.0,0.0,0.9999998807907104,OK
generator.resblocks.5.adain1.0.norm,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000635385513306,OK
generator.resblocks.5.adain1.0,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000413656234741,OK
generator.resblocks.5.convs1.0.parametrizations.weight.0,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.000001072883606,OK
generator.resblocks.5.convs1.0.parametrizations.weight,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.000001072883606,OK
generator.resblocks.5.convs1.0,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000348091125488,OK
generator.resblocks.5.adain2.0.fc,"[1, 256]","[1, 256]",0.0,0.0,0.9999999403953552,OK
generator.resblocks.5.adain2.0.norm,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.000046968460083,OK
generator.resblocks.5.adain2.0,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000367164611816,OK
generator.resblocks.5.convs2.0.parametrizations.weight.0,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.0000070333480835,OK
generator.resblocks.5.convs2.0.parametrizations.weight,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.0000070333480835,OK
generator.resblocks.5.convs2.0,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000910758972168,OK
generator.resblocks.5.adain1.1.fc,"[1, 256]","[1, 256]",0.0,0.0,0.9999998807907104,OK
generator.resblocks.5.adain1.1.norm,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000466108322144,OK
generator.resblocks.5.adain1.1,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.00003981590271,OK
generator.resblocks.5.convs1.1.parametrizations.weight.0,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.0000029802322388,OK
generator.resblocks.5.convs1.1.parametrizations.weight,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.0000029802322388,OK
generator.resblocks.5.convs1.1,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.000045895576477,OK
generator.resblocks.5.adain2.1.fc,"[1, 256]","[1, 256]",0.0,0.0,1.0,OK
generator.resblocks.5.adain2.1.norm,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.000045895576477,OK
generator.resblocks.5.adain2.1,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000399351119995,OK
generator.resblocks.5.convs2.1.parametrizations.weight.0,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.0000144243240356,OK
generator.resblocks.5.convs2.1.parametrizations.weight,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.0000144243240356,OK
generator.resblocks.5.convs2.1,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0001766681671143,OK
generator.resblocks.5.adain1.2.fc,"[1, 256]","[1, 256]",0.0,0.0,1.0,OK
generator.resblocks.5.adain1.2.norm,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000460147857666,OK
generator.resblocks.5.adain1.2,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000392198562622,OK
generator.resblocks.5.convs1.2.parametrizations.weight.0,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.0000009536743164,OK
generator.resblocks.5.convs1.2.parametrizations.weight,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.0000009536743164,OK
generator.resblocks.5.convs1.2,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.000031590461731,OK
generator.resblocks.5.adain2.2.fc,"[1, 256]","[1, 256]",0.0,0.0,0.9999997615814209,OK
generator.resblocks.5.adain2.2.norm,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000354051589966,OK
generator.resblocks.5.adain2.2,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0000371932983398,OK
generator.resblocks.5.convs2.2.parametrizations.weight.0,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.0000101327896118,OK
generator.resblocks.5.convs2.2.parametrizations.weight,"[128, 128, 11]","[128, 128, 11]",0.0,0.0,1.0000101327896118,OK
generator.resblocks.5.convs2.2,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.0001393556594849,OK
generator.resblocks.5,"[1, 128, 10801]","[1, 128, 10801]",0.0,0.0,1.000119686126709,OK
generator.conv_post.parametrizations.weight.0,"[22, 128, 7]","[22, 128, 7]",0.0,0.0,1.0000005960464478,OK
generator.conv_post.parametrizations.weight,"[22, 128, 7]","[22, 128, 7]",0.0,0.0,1.0000005960464478,OK
generator.conv_post,"[1, 22, 10801]","[1, 22, 10801]",0.0,0.0,1.0000494718551636,OK
generator,"[1, 1, 54000]","[1, 1, 54000]",0.0,0.0,1.000003695487976,OK
